kjv,gist,root,type,meaning,kjgv,original,morph
,earth,אָרֶץ|aretz,b,"earth (land)","הַ[אָרֶץ]|ha[aretz]|the [earth] (land)",הָאָ֑רֶץ,Hbs
"Gen 1:11 ו: and it was so.",,,,,,,,
,was,הָיֹה|haiyoh,V,exist,"וַיְ[הִי]־|vaiye[hi]|and he [exist]",וַֽיְהִי־,HViSA3ms
,so,כֵן|chen,,so,[כֵן]׃|[chen]|[so],כֵֽן׃,H
"Gen 1:12 א: And the earth brought forth grass,",,,,,,,,
,"bring forth",יָצֹא|yatzo,V,"go out","וְתוֹ[צִא]|veto[tzi]|and she do [go] [out]",וַתּוֹצֵ֨א,HViCA3fs
,earth,אָרֶץ|aretz,b,"earth (land)","הַ[אָרֶץ]|ha[aretz]|the [earth] (land)",הָאָ֜רֶץ,Hbs
,grass,דֶשֶׁא|deshe,m,sprouting,[דֶשֶׁא]|[deshe]|[sprouting],דֶּ֠שֶׁא,Hms
"Gen 1:12 ב: [and] herb yielding seed after his kind,",,,,,,,,
,herb,עֵשֶׂב|esev,m,herb,[עֵשֶׂב]|[esev]|[herb],עֵ֣שֶׂב,Hms
,yield,זָרֹע|zaroa,V,sow,"מַ[זְרִיע]|ma[zria]|do be [sowing]",מַזְרִ֤יעַ,HVrCAmsa
,seed,זַרְע|zarea,m,seed,[זַרְע]|[zarea]|[seed],זֶ֨רַע֙,Hms
,"after kind",מִין|min,m,similarity,"לְ[מִינ]הוּ|le[min]hu|to [similarity] him",לְמִינֵ֔הוּ,Hms
"Gen 1:12 ג: and the tree yielding fruit,",,,,,,,,
,tree,עֵץ|etz,m,"tree (make firm)","וְ[עֵץ]|ve[etz]|and [tree] (make firm)",וְעֵ֧ץ,Hms
,yield,עָשֹׂה|asoh,V,do,[עֹשֵׂה]־|[oseh]|[doing],עֹֽשֶׂה־,HVrSAmsa
,fruit,פְרִי|feri,m,fruitfulness,[פְרִי]|[feri]|[fruitfulness],פְּרִ֛י,Hms
"Gen 1:12 ד: whose seed [was] in itself, after his kind:",,,,,,,,
,whose,אֲשֶׁר|asher,,"then that","[אֲשֶׁר]|[asher]|[then] [that]",אֲשֶׁ֥ר,H
,seed,זַרְע|zarea,m,seed,"[זַרְע]וֹ־|[zar]o|[seed] him",זַרְעוֹ־,Hms
,,|,,,"בּוֹ|bo|in him",ב֖וֹ,
,"after kind",מִין|min,m,similarity,"לְ[מִינ]הוּ|le[min]hu|to [similarity] him",לְמִינֵ֑הוּ,Hms
"Gen 1:12 ה: and God saw that [it was] good.",,,,,,,,
,see,רָאֹה|raoh,V,see,"וַיִ[רְא]|vaiyi[r]|and he [see]",וַיַּ֥רְא,HViSA3ms
,God,אֱלֹה|eloh,M,"God (mighty one)","[אֱלֹהִ]ים|[eloh]im|[God] (mighty one)",אֱלֹהִ֖ים,Mp
,that,כִּי|ki,,that,[כִּי]־|[ki]|[that],כִּי־,H
,good,טוֹב|tov,m,good,[טוֹב]׃|[tov]|[good],טֽוֹב׃,Hms
"Gen 1:13 א: And the evening and the morning were the third day.",,,,,,,,
,were,הָיֹה|haiyoh,V,exist,"וַיְ[הִי]־|vaiye[hi]|and he [exist]",וַֽיְהִי־,HViSA3ms
,evening,עָרְב|arev,m,"evening (get dark)","[עָרְב]|[arev]|[evening] (get dark)",עֶ֥רֶב,Hms
,,הָיֹה|haiyoh,V,exist,"וַיְ[הִי]־|vaiye[hi]|and he [exist]",וַֽיְהִי־,HViSA3ms
,morning,בֹּקֶר|boker,m,"morning (be searched)","[בֹּקֶר]|[boker]|[morning] (be searched)",בֹ֖קֶר,Hms
,day,יוֹם|yom,m,day,[יוֹם]|[yom]|[day],י֥וֹם,Hms
,third,שְׁלִישִׁי|shelishi,m,"third (3rd)","[שְׁלִישִׁי]׃פ|[shelishi]|[third] (3rd)",שְׁלִישִֽׁי׃פ,Hms
"Gen 1:14 א: And God said,",,,,,,,,
,say,אָמֹר|amor,V,say,"וַיֹ[אמֵר]|vaiyo[mer]|and he [say]",וַיֹּ֣אמֶר,HViSA3ms
,God,אֱלֹה|eloh,M,"God (mighty one)","[אֱלֹהִ]ים|[eloh]im|[God] (mighty one)",אֱלֹהִ֗ים,Mp
"Gen 1:14 ב: Let there be lights in the firmament of the heaven",,,,,,,,
,"let be",הָיֹה|haiyoh,V,exist,"יְ[הִי]|ye[hi]|let him [exist]",יְהִ֤י,HVjSA3ms
,light,מָאוֹר|maor,m,"luminary (give light of)","[מָאֹרֹ]ת|[maor]ot|[luminaries] (give light ofs)",מְאֹרֹת֙,Hmp
,firmament,רָקִיע|rakia,m,"overlay (hammering)","בְּ[רָקִיע]|be[rakia]|in [overlay] (hammering)",בִּרְקִ֣יעַ,Hms
,heaven,שָׁמָה|shamah,m,heaven,"הַ[שָׁמַ]יִם|ha[shamai]yim|the [heavens]",הַשָּׁמַ֔יִם,Hmd
"Gen 1:14 ג: to divide the day from the night;",,,,,,,,
,divide,בָּדֹל|badol,V,"be separate","לְהַ[בְּדִיל]|leha[bedil]|to make [separate]",לְהַבְדִּ֕יל,HVcCA
,,בֵּין|bein,,between,[בֵּין]|[bein]|[between],בֵּ֥ין,H
,day,יוֹם|yom,m,day,"הַ[יוֹם]|hai[yom]|the [day]",הַיּ֖וֹם,Hms
,from,בֵּין|bein,,between,"וּ[בֵּין]|u[bein]|and [between]",וּבֵ֣ין,H
,night,לַילָה|laiylah,m,night,"הַ[לַילָה]|ha[laiylah]|the [night]",הַלָּ֑יְלָה,Hms
"Gen 1:14 ד: and let them be for signs, and for seasons, and for days, and years:",,,,,,,,
,"let be",הָיֹה|haiyoh,V,exist,"וְ[הָי]וּ|ve[haiy]u|and they [exist]",וְהָי֤וּ,HVpSA3cp
,sign,אוֹת|ot,b,"sign (agreement)","לְ[אֹתֹ]ת|le[ot]ot|for [signs] (agreements)",לְאֹתֹת֙,Hbp
,season,מוֹעֵד|moed,m,"appointed time","וּלְ[מוֹעֵדִ]ים|ule[moed]im|and for [appointed] [times]",וּלְמ֣וֹעֲדִ֔ים,Hmp
,day,יוֹם|yom,m,day,"וּלְ[יֹמִ]ים|ulei[yom]im|and for [days]",וּלְיָמִ֖ים,Hmp
,year,שְׁנָה|shenah,f,year,"וּ[שְׁנִ]ים׃|u[sheni]m|and [years]",וְשָׁנִֽים׃,Hfp
"Gen 1:15 א: And let them be for lights in the firmament of the heaven",,,,,,,,
,"let be",הָיֹה|haiyoh,V,exist,"וְ[הָי]וּ|ve[haiy]u|and they [exist]",וְהָי֤וּ,HVpSA3cp
,light,מָאוֹר|maor,m,"luminary (give light of)","לְ[מָאוֹרֹ]ת|le[maor]ot|for [luminaries] (give light ofs)",לִמְאוֹרֹת֙,Hmp
,firmament,רָקִיע|rakia,m,"overlay (hammering)","בְּ[רָקִיע]|be[rakia]|in [overlay] (hammering)",בִּרְקִ֣יעַ,Hms
,heaven,שָׁמָה|shamah,m,heaven,"הַ[שָׁמַ]יִם|ha[shamai]yim|the [heavens]",הַשָּׁמַ֔יִם,Hmd
"Gen 1:15 ב: to give light upon the earth:",,,,,,,,
,"give light",אוֹר|or,V,"give light","לְהָ[אִיר]|leha[ir]|to do [give] [light]",לְהָאִ֖יר,HVcCA
,upon,עַל|al,,upon,[עַל]־|[al]|[upon],עַל־,H
,earth,אָרֶץ|aretz,b,"earth (land)","הַ[אָרֶץ]|ha[aretz]|the [earth] (land)",הָאָ֑רֶץ,Hbs
"Gen 1:15 ג: and it was so.",,,,,,,,
,was,הָיֹה|haiyoh,V,exist,"וַיְ[הִי]־|vaiye[hi]|and he [exist]",וַֽיְהִי־,HViSA3ms
,so,כֵן|chen,,so,[כֵן]׃|[chen]|[so],כֵֽן׃,H
"Gen 1:16 א: And God made two great lights;",,,,,,,,
,make,עָשֹׂה|asoh,V,make,"וַיַ[עֲשׂ]|vaiya[as]|and he [make]",וַיַּ֣עַשׂ,HViSA3ms
,God,אֱלֹה|eloh,M,"God (mighty one)","[אֱלֹהִ]ים|[eloh]im|[God] (mighty one)",אֱלֹהִ֔ים,Mp
,,אֵת|et,,even,[אֵת]־|[et]|[even],אֶת־,H
,two,שְׁנַה|shenah,m,"two (2)","[שְׁנֵ]י|[shene]i|[two] (2)",שְׁנֵ֥י,Hmd
,light,מָאוֹר|maor,m,"luminary (give light of)","הַ[מָאֹרֹ]ת|ha[maor]ot|the [luminaries] (give light ofs)",הַמְּאֹרֹ֖ת,Hmp
,great,גְדוֹל|gedol,m,great,"הַ[גְדֹלִ]ים|ha[gedol]im|the [great]",הַגְּדֹלִ֑ים,Hmp
"Gen 1:16 ב: the greater light to rule the day,",,,,,,,,
,,אֵת|et,,even,[אֵת]־|[et]|[even],אֶת־,H
,light,מָאוֹר|maor,m,"luminary (give light of)","הַ[מָאוֹר]|ha[maor]|the [luminary] (give light of)",הַמָּא֤וֹר,Hms
